,capacity,loc1,loc2,rate,type,expense,status
0,206,509,12,5,"[2, 3]","[154, 157]","[[250, 790]]"
1,293,836,854,7,"[0, 4]","[170, 180]","[[190, 250], [280, 330], [360, 390], [540, 620], [670, 810], [900, 980]]"
2,284,797,457,2,"[0, 3, 4]","[193, 181, 188]","[[80, 100], [140, 490], [560, 570], [700, 730]]"
3,188,878,789,4,"[0, 2]","[126, 108]",[]
4,600,927,956,8,"[0, 4]","[170, 180]","[[90, 100], [130, 180], [200, 450], [600, 660], [690, 790], [870, 880], [920, 980]]"
5,690,413,987,3,"[0, 2, 3]","[153, 162, 146]",[]
6,219,636,789,5,"[0, 1]","[177, 198]","[[0, 90], [140, 150], [250, 440], [480, 540], [570, 690], [730, 900]]"
7,426,193,531,9,"[2, 3]","[154, 157]","[[70, 180], [290, 360], [560, 660], [880, 890]]"
8,50,814,259,4,"[0, 4]","[170, 180]","[[90, 230], [290, 480], [700, 760], [900, 940]]"
9,724,774,195,8,[0],[139],"[[10, 210], [320, 390], [410, 450], [460, 490], [540, 630], [760, 910]]"
10,262,991,357,6,"[0, 2, 3]","[153, 162, 146]","[[130, 160], [220, 250], [400, 410], [540, 590], [600, 630], [830, 900], [940, 980]]"
11,238,442,508,2,[2],[190],"[[20, 110], [120, 140], [220, 230], [520, 620], [680, 980]]"
12,957,33,12,3,"[1, 4]","[184, 141]","[[330, 440], [580, 600], [780, 840], [980, 990]]"
13,908,905,268,10,"[2, 3]","[154, 157]","[[0, 40], [230, 390], [410, 510], [540, 570], [640, 650], [710, 770], [920, 950]]"
14,134,333,949,5,[1],[151],"[[0, 30], [40, 400], [450, 810], [840, 870]]"
15,509,514,480,10,"[3, 4]","[101, 108]","[[160, 340], [710, 740], [870, 990]]"
16,730,795,398,1,"[1, 4]","[184, 141]","[[0, 230], [360, 480], [720, 870]]"
17,121,72,156,4,"[0, 4]","[170, 180]","[[130, 200], [220, 560], [630, 870], [880, 890]]"
